*******************************************************************************
*** Historical Isotopic Temperature Record from the Vostok Ice Core         ***
***                                                                         *** 
*** The data available from CDIAC represent a major effort by researchers   ***
*** from France, Russia, and the U.S.A.  We ask as a professional courtesy  ***
*** (and as a condition for its use by you) that when you refer to this     ***
*** data set in publications you cite the following papers.                 ***
***                                                                         ***
***  Jouzel, J., C. Lorius, J.R. Petit, C. Genthon, N.I. Barkov,            ***
***   V.M. Kotlyakov, and V.M. Petrov. 1987.  Vostok ice core: a continuous ***
***   isotope temperature record over the last climatic cycle (160,000      ***
***   years). Nature 329:403-8.                                             ***
***                                                                         ***
***  Jouzel, J., N.I. Barkov, J.M. Barnola, M. Bender, J. Chappellaz,       ***
***   C. Genthon, V.M. Kotlyakov, V. Lipenkov, C. Lorius, J.R. Petit,       ***
***   D. Raynaud, G. Raisbeck, C. Ritz, T. Sowers, M. Stievenard, F. Yiou,  ***
***   and P. Yiou. 1993. Extending the Vostok ice-core record of            ***
***   palaeoclimate to the penultimate glacial period. Nature 364:407-12.   ***
***                                                                         ***
***  Jouzel, J., C. Waelbroeck, B. Malaize, M. Bender, J.R. Petit,          ***
***   M. Stievenard, N.I. Barkov, J.M. Barnola, T. King, V.M. Kotlyakov,    ***
***   V. Lipenkov, C. Lorius, D. Raynaud, C. Ritz, and T. Sowers. 1996.     ***
***   Climatic interpretation of the recently extended Vostok ice records.  ***
***   Climate Dynamics 12:513-521.                                          ***
***                                                                         ***
***  Petit, J.R., J. Jouzel, D. Raynaud, N.I. Barkov, J.-M. Barnola,        ***
***   I. Basile, M. Bender, J. Chappellaz, M. Davis, G. Delayque,           ***
***   M. Delmotte, V.M. Kotlyakov, M. Legrand, V.Y. Lipenkov, C. Lorius,    ***
***   L. Pepin, C. Ritz, E. Saltzman, and M. Stievenard. 1999.              ***
***   Climate and atmospheric history of the past 420,000 years from the    ***
***   Vostok ice core, Antarctica. Nature 399: 429-436.                     ***
***                                                                         ***
*** Source: J. R. Petit                                                     ***
***         D. Raynaud                                                      ***
***         C. Lorius                                                       ***
***         Laboratoire de Glaciologie et de Geophysique de l'Environnement ***
***         38402 Saint Martin d'Heres Cedex, France                        ***
***                                                                         ***
***         J. Jouzel                                                       ***
***         G. Delaygue                                                     ***
***         Laboratoire des Sciences du Climat et de l'Environment          ***
***         (UMR CEA/CNRS 1572)                                             ***
***         91191 Gif-sur-Yvette Cedex, France                              ***
***                                                                         ***
***         N. I. Barkov                                                    ***
***         Arctic and Antarctic Research Institute                         ***
***         Beringa Street 38                                               ***
***         St. Petersburg 199397, Russia                                   ***
***                                                                         ***
***         V. M. Kotlyakov                                                 ***
***         Institute of Geography                                          ***
***         Staromonetny, per 29, Moscow 109017, Russia                     ***
***                                                                         ***
*** January 2000                                                            ***
*******************************************************************************
#                   Deuterium               
#         Age of     content   Temperature
# Depth   the ice   of the ice  Variation
#  (m)    (yr BP)   (delta D)    (deg C)
# 
1481   105842       -458.5       -3.92
1482   105911       -457.9       -3.82
1483   105980       -457.2       -3.71
1484   106048       -454.2       -3.21
1485   106114       -451.2       -2.71
1486   106179       -455.2       -3.37
1487   106248       -459.1       -4.02
1488   106319       -460.5       -4.25
1489   106391       -461.9       -4.48
1490   106463       -460.6       -4.26
1491   106535       -459.3       -4.04
1492   106606       -461.0       -4.32
1493   106678       -462.7       -4.60
1494   106752       -464.1       -4.84
1495   106828       -465.5       -5.07
1496   106902       -463.5       -4.73
1497   106976       -461.5       -4.40
1498   107048       -461.5       -4.40
1499   107121       -461.5       -4.40
1500   107194       -464.4       -4.88
1501   107270       -467.3       -5.36
1502   107349       -470.7       -5.92
1503   107431       -474.1       -6.48
1504   107515       -474.1       -6.48
1505   107599       -474.1       -6.48
1506   107683       -474.1       -6.48
1507   107767       -475.3       -6.67
1508   107852       -476.4       -6.85
1509   107938       -476.7       -6.90
1510   108025       -477.0       -6.95
1511   108111       -477.0       -6.95
1512   108198       -476.3       -6.83
1513   108283       -475.6       -6.71
1514   108369       -475.6       -6.71
1515   108454       -475.2       -6.64
1516   108538       -474.8       -6.57
1517   108622       -474.0       -6.43
1518   108706       -473.1       -6.28
1519   108789       -473.1       -6.28
1520   108872       -473.1       -6.28
1521   108954       -473.1       -6.27
1522   109037       -473.1       -6.27
1523   109121       -474.7       -6.53
1524   109206       -476.4       -6.81
1525   109292       -476.4       -6.81
1526   109378       -474.2       -6.44
1527   109461       -472.1       -6.09
1528   109543       -472.1       -6.09
1529   109625       -472.1       -6.09
1530   109707       -472.8       -6.20
1531   109790       -473.4       -6.30
1532   109872       -470.9       -5.88
1533   109952       -468.4       -5.47
1534   110031       -468.8       -5.53
1535   110110       -469.1       -5.58
1536   110189       -469.1       -5.58
1537   110269       -469.1       -5.58
1538   110348       -469.1       -5.58
1539   110427       -469.1       -5.57
1540   110507       -469.1       -5.57
1541   110586       -469.1       -5.57
1542   110666       -469.1       -5.57
1543   110746       -471.7       -6.00
1544   110829       -474.2       -6.42
1545   110913       -473.2       -6.25
1546   110996       -472.2       -6.08
1547   111078       -471.0       -5.88
1548   111159       -469.8       -5.68
1549   111239       -469.8       -5.68
1550   111319       -469.8       -5.68
1551   111399       -469.8       -5.68
1552   111480       -469.8       -5.68
1553   111560       -469.8       -5.68
1554   111640       -469.8       -5.68
1555   111721       -471.9       -6.02
1556   111805       -474.0       -6.37
1557   111889       -474.0       -6.37
1558   111973       -472.7       -6.16
1559   112055       -471.4       -5.94
1560   112137       -471.4       -5.94
1561   112219       -471.4       -5.94
1562   112301       -471.4       -5.94
1563   112383       -471.4       -5.94
1564   112465       -471.4       -5.93
1565   112547       -470.7       -5.82
1566   112628       -470.0       -5.70
1567   112708       -469.8       -5.67
1568   112790       -471.0       -5.86
1569   112872       -472.2       -6.06
1570   112954       -471.4       -5.93
1571   113036       -470.6       -5.80
1572   113116       -468.2       -5.40
1573   113195       -465.7       -4.98
1574   113272       -465.7       -4.98
1575   113348       -465.0       -4.86
1576   113425       -464.9       -4.85
1577   113501       -465.2       -4.89
1578   113578       -465.5       -4.94
1579   113656       -467.5       -5.27
1580   113736       -469.6       -5.62
1581   113815       -466.5       -5.10
1582   113891       -463.3       -4.57
1583   113966       -463.3       -4.57
1584   114041       -462.6       -4.45
1585   114115       -461.9       -4.33
1586   114189       -462.1       -4.36
1587   114264       -462.3       -4.39
1588   114338       -461.8       -4.31
1589   114411       -461.4       -4.24
1590   114486       -463.5       -4.59
1591   114562       -465.7       -4.95
1592   114639       -464.7       -4.78
1593   114715       -463.6       -4.60
1594   114790       -462.0       -4.33
1595   114863       -460.4       -4.06
1596   114935       -458.5       -3.75
1597   115006       -456.7       -3.45
1598   115077       -459.4       -3.89
1599   115150       -462.0       -4.32
1600   115222       -456.5       -3.41
1601   115289       -450.9       -2.48
1602   115355       -450.9       -2.47
1603   115420       -450.9       -2.47
1604   115486       -450.9       -2.47
1605   115551       -450.9       -2.47
1606   115617       -450.9       -2.47
1607   115683       -451.5       -2.56
1608   115749       -452.0       -2.64
1609   115816       -454.8       -3.11
1610   115886       -457.6       -3.57
1611   115956       -456.2       -3.34
1612   116025       -454.7       -3.08
1613   116093       -454.0       -2.97
1614   116161       -453.4       -2.86
1615   116228       -453.5       -2.88
1616   116296       -453.2       -2.83
1617   116363       -452.8       -2.76
1618   116430       -452.5       -2.71
1619   116497       -452.3       -2.67
1620   116563       -452.3       -2.67
1621   116630       -452.3       -2.67
1622   116697       -451.5       -2.53
1623   116762       -450.8       -2.41
1624   116827       -449.0       -2.11
1625   116891       -447.3       -1.83
1626   116954       -446.1       -1.62
1627   117016       -445.0       -1.44
1628   117077       -445.0       -1.44
1629   117139       -446.2       -1.63
1630   117202       -447.4       -1.83
1631   117264       -446.0       -1.59
1632   117326       -444.6       -1.36
1633   117388       -446.5       -1.67
1634   117451       -448.5       -2.00
1635   117514       -445.5       -1.50
1636   117575       -442.4       -0.98
1637   117635       -444.1       -1.26
1638   117697       -445.8       -1.54
1639   117759       -446.6       -1.67
1640   117822       -447.7       -1.85
1641   117886       -447.9       -1.88
1642   117949       -447.3       -1.78
1643   118012       -446.6       -1.66
1644   118074       -444.5       -1.31
1645   118135       -442.3       -0.94
1646   118194       -442.3       -0.93
1647   118254       -442.3       -0.93
1648   118314       -443.9       -1.19
1649   118376       -445.5       -1.46
1650   118438       -445.5       -1.45
1651   118499       -443.5       -1.12
1652   118559       -441.6       -0.80
1653   118618       -440.2       -0.57
1654   118676       -438.7       -0.31
1655   118735       -443.1       -1.04
1656   118796       -447.5       -1.77
1657   118859       -445.7       -1.47
1658   118921       -443.9       -1.16
1659   118981       -443.9       -1.16
1660   119042       -442.0       -0.84
1661   119101       -440.0       -0.51
1662   119160       -442.7       -0.95
1663   119221       -445.4       -1.40
1664   119283       -445.4       -1.40
1665   119345       -445.0       -1.33
1666   119406       -444.7       -1.27
1667   119467       -443.5       -1.07
1668   119528       -443.6       -1.09
1669   119589       -445.0       -1.31
1670   119650       -443.1       -1.00
1671   119710       -441.2       -0.68
1672   119770       -443.6       -1.07
1673   119831       -446.0       -1.47
1674   119894       -446.0       -1.47
1675   119955       -444.2       -1.16
1676   120016       -442.4       -0.86
1677   120076       -443.7       -1.08
1678   120138       -445.0       -1.29
1679   120199       -443.8       -1.09
1680   120259       -442.5       -0.87
1681   120319       -442.5       -0.86
1682   120379       -442.5       -0.86
1683   120439       -441.1       -0.63
1684   120498       -439.8       -0.41
1685   120555       -438.2       -0.14
1686   120612       -436.6        0.13
1687   120669       -437.3        0.02
1688   120726       -438.0       -0.10
1689   120783       -438.9       -0.24
1690   120841       -440.4       -0.49
1691   120900       -441.0       -0.59
1692   120959       -441.0       -0.58
1693   121018       -442.0       -0.75
1694   121079       -443.1       -0.93
1695   121139       -443.1       -0.92
1696   121199       -440.4       -0.47
1697   121256       -437.6        0.00
1698   121314       -439.5       -0.32
1699   121373       -441.5       -0.65
1700   121432       -441.5       -0.64
1701   121492       -441.4       -0.62
1702   121551       -441.3       -0.60
1703   121610       -441.3       -0.60
1704   121669       -439.6       -0.32
1705   121727       -437.9       -0.03
1706   121784       -437.9       -0.03
1707   121840       -436.1        0.28
1708   121896       -434.3        0.58
1709   121951       -434.3        0.59
1710   122006       -437.2        0.11
1711   122064       -440.1       -0.37
1712   122122       -438.0       -0.01
1713   122178       -436.0        0.32
1714   122234       -435.5        0.41
1715   122290       -435.0        0.50
1716   122345       -436.1        0.32
1717   122402       -437.3        0.13
1718   122458       -437.3        0.13
1719   122515       -436.5        0.27
1720   122571       -435.8        0.39
1721   122627       -437.1        0.18
1722   122684       -438.5       -0.05
1723   122742       -440.6       -0.39
1724   122801       -442.8       -0.75
1725   122861       -440.1       -0.30
1726   122919       -438.9       -0.09
1727   122977       -440.3       -0.32
1728   123036       -440.9       -0.41
1729   123095       -441.5       -0.51
1730   123154       -439.9       -0.24
1731   123211       -438.2        0.05
1732   123268       -435.3        0.54
1733   123322       -432.4        1.02
1734   123377       -434.8        0.63
1735   123432       -437.3        0.22
1736   123489       -437.0        0.27
1737   123545       -436.6        0.34
1738   123602       -437.2        0.25
1739   123658       -437.8        0.16
1740   123715       -436.1        0.44
1741   123770       -434.5        0.71
1742   123825       -434.5        0.72
1743   123880       -435.1        0.62
1744   123936       -435.8        0.51
1745   123991       -436.5        0.40
1746   124046       -432.5        1.07
1747   124100       -431.5        1.24
1748   124154       -435.4        0.59
1749   124209       -435.4        0.60
1750   124265       -435.4        0.60
1751   124320       -436.0        0.50
1752   124376       -436.6        0.40
1753   124432       -436.0        0.50
1754   124488       -435.5        0.58
1755   124544       -435.3        0.62
1756   124599       -435.1        0.65
1757   124654       -435.3        0.62
1758   124710       -435.4        0.60
1759   124765       -435.4        0.60
1760   124821       -435.1        0.65
1761   124877       -437.4        0.27
1762   124935       -439.9       -0.14
1763   124993       -438.8        0.04
1764   125050       -437.6        0.24
1765   125107       -436.2        0.47
1766   125162       -434.9        0.69
1767   125217       -433.3        0.95
1768   125271       -431.7        1.22
1769   125325       -433.5        0.92
1770   125380       -435.4        0.61
1771   125435       -434.1        0.82
1772   125490       -432.9        1.02
1773   125544       -432.6        1.07
1774   125598       -432.4        1.11
1775   125653       -434.5        0.76
1776   125708       -436.5        0.43
1777   125765       -436.4        0.45
1778   125821       -435.9        0.53
1779   125877       -435.4        0.61
1780   125933       -435.8        0.55
1781   125989       -436.3        0.47
1782   126046       -436.8        0.38
1783   126103       -437.4        0.28
1784   126160       -438.1        0.17
1785   126217       -435.9        0.53
1786   126272       -432.9        1.03
1787   126327       -433.1        1.00
1788   126381       -433.3        0.97
1789   126436       -433.5        0.93
1790   126491       -433.7        0.90
1791   126545       -431.5        1.26
1792   126598       -429.3        1.61
1793   126650       -427.3        1.93
1794   126700       -423.8        2.50
1795   126749       -422.3        2.74
1796   126799       -426.3        2.07
1797   126851       -430.2        1.41
1798   126904       -428.2        1.73
1799   126955       -426.1        2.07
1800   127006       -426.1        2.06
1801   127057       -426.1        2.05
1802   127108       -426.1        2.04
1803   127159       -425.5        2.13
1804   127210       -424.9        2.22
1805   127260       -424.2        2.33
1806   127310       -423.5        2.44
1807   127360       -423.4        2.44
1808   127410       -423.2        2.46
1809   127460       -423.7        2.37
1810   127510       -424.1        2.29
1811   127560       -423.3        2.40
1812   127610       -422.5        2.52
1813   127660       -423.3        2.37
1814   127710       -424.1        2.22
1815   127760       -422.7        2.43
1816   127810       -421.7        2.58
1817   127860       -422.1        2.49
1818   127910       -424.0        2.16
1819   127961       -424.5        2.06
1820   128012       -423.2        2.26
1821   128062       -421.7        2.49
1822   128112       -420.2        2.72
1823   128161       -420.2        2.70
1824   128210       -420.2        2.68
1825   128259       -421.2        2.50
1826   128309       -419.4        2.78
1827   128357       -416.6        3.23
1828   128405       -416.9        3.16
1829   128453       -417.2        3.08
1830   128501       -417.2        3.06
1831   128549       -419.1        2.71
1832   128599       -421.0        2.37
1833   128650       -422.4        2.11
1834   128702       -423.7        1.87
1835   128753       -421.8        2.16
1836   128804       -419.9        2.45
1837   128854       -421.2        2.20
1838   128906       -422.5        1.96
1839   128958       -423.9        1.70
1840   129011       -425.3        1.44
1841   129065       -425.3        1.42
1842   129119       -425.3        1.39
1843   129172       -422.5        1.83
1844   129224       -419.8        2.25
1845   129274       -418.0        2.52
1846   129324       -416.3        2.78
1847   129374       -419.6        2.20
1848   129428       -428.7        0.67
1849   129486       -434.5       -0.31
1850   129545       -429.1        0.56
1851   129600       -423.8        1.42
1852   129653       -421.5        1.78
1853   129705       -419.1        2.16
1854   129757       -420.2        1.95
1855   129809       -421.4        1.73
1856   129863       -422.1        1.60
1857   129916       -423.7        1.31
1858   129971       -424.6        1.14
1859   130026       -422.5        1.47
1860   130079       -420.3        1.81
1861   130131       -420.3        1.79
1862   130185       -423.5        1.24
1863   130241       -426.7        0.68
1864   130297       -425.4        0.88
1865   130353       -425.5        0.84
1866   130410       -426.9        0.59
1867   130467       -427.0        0.57
1868   130525       -427.2        0.53
1869   130582       -428.0        0.40
1870   130641       -428.9        0.24
1871   130699       -429.5        0.14
1872   130759       -431.1       -0.13
1873   130819       -432.2       -0.31
1874   130880       -432.9       -0.43
1875   130942       -433.5       -0.54
1876   131004       -433.6       -0.56
1877   131066       -433.7       -0.58
1878   131128       -435.0       -0.79
1879   131190       -432.7       -0.42
1880   131250       -429.2        0.16
1881   131311       -433.1       -0.49
1882   131374       -437.0       -1.14
1883   131439       -439.4       -1.54
1884   131506       -441.8       -1.94
1885   131574       -440.5       -1.73
1886   131641       -439.2       -1.51
1887   131707       -439.0       -1.48
1888   131773       -438.8       -1.45
1889   131840       -441.3       -1.87
1890   131908       -443.8       -2.28
1891   131978       -443.5       -2.23
1892   132048       -445.0       -2.48
1893   132120       -446.8       -2.78
1894   132192       -446.8       -2.78
1895   132264       -445.7       -2.60
1896   132335       -444.6       -2.42
1897   132406       -444.7       -2.44
1898   132477       -445.2       -2.52
1899   132548       -445.5       -2.57
1900   132619       -445.5       -2.58
1901   132691       -445.5       -2.58
1902   132763       -446.6       -2.76
1903   132836       -449.0       -3.16
1904   132911       -450.2       -3.36
1905   132987       -451.7       -3.61
1906   133065       -453.1       -3.84
1907   133142       -452.2       -3.69
1908   133219       -451.3       -3.54
1909   133296       -452.5       -3.73
1910   133374       -453.7       -3.93
1911   133452       -451.6       -3.58
1912   133528       -449.5       -3.23
1913   133603       -449.5       -3.23
1914   133679       -453.0       -3.81
1915   133759       -456.6       -4.41
1916   133841       -456.9       -4.46
1917   133923       -457.0       -4.47
1918   134005       -459.5       -4.89
1919   134091       -461.9       -5.28
1920   134178       -462.6       -5.40
1921   134266       -464.7       -5.74
1922   134356       -465.8       -5.93
1923   134447       -466.8       -6.09
1924   134538       -464.8       -5.76
1925   134628       -464.7       -5.74
1926   134719       -468.6       -6.39
1927   134815       -472.1       -6.97
1928   134912       -471.7       -6.90
1929   135009       -471.6       -6.88
1930   135107       -473.4       -7.18
1931   135207       -473.9       -7.26
1932   135308       -475.2       -7.48
1933   135408       -474.1       -7.30
1934   135507       -471.3       -6.83
1935   135604       -471.8       -6.91
1936   135702       -473.1       -7.13
1937   135802       -474.3       -7.33
1938   135903       -474.2       -7.31
1939   136003       -473.2       -7.14
1940   136103       -475.4       -7.51
1941   136206       -477.2       -7.81
1942   136309       -475.0       -7.44
1943   136411       -474.7       -7.39
1944   136512       -475.6       -7.54
1945   136614       -474.1       -7.29
1946   136715       -475.4       -7.51
1947   136819       -478.0       -7.94
1948   136923       -476.1       -7.62
1949   137026       -475.4       -7.50
1950   137130       -477.3       -7.82
1951   137235       -478.0       -7.93
1952   137341       -478.3       -7.98
1953   137446       -476.7       -7.72
1954   137549       -475.1       -7.45
1955   137651       -475.2       -7.47
1956   137754       -475.7       -7.55
1957   137858       -477.7       -7.88
1958   137966       -481.5       -8.51
1959   138078       -483.8       -8.89
1960   138193       -485.9       -9.24
1961   138308       -484.1       -8.94
1962   138420       -482.0       -8.59
1963   138532       -482.8       -8.72
1964   138644       -482.5       -8.67
1965   138756       -482.5       -8.67
1966   138868       -482.0       -8.59
1967   138978       -480.3       -8.30
1968   139087       -480.3       -8.30
1969   139197       -481.7       -8.53
1970   139308       -480.9       -8.40
1971   139418       -480.9       -8.40
1972   139530       -482.7       -8.70
1973   139643       -483.7       -8.86
1974   139756       -482.5       -8.66
1975   139868       -481.1       -8.43
1976   139979       -482.4       -8.64
1977   140093       -484.5       -8.99
1978   140207       -483.5       -8.82
1979   140319       -480.6       -8.34
1980   140430       -481.2       -8.44
1981   140542       -482.6       -8.67
1982   140655       -482.2       -8.60
1983   140766       -480.9       -8.38
1984   140876       -479.3       -8.11
1985   140986       -482.2       -8.59
1986   141100       -483.2       -8.75
1987   141212       -481.0       -8.38
1988   141323       -480.6       -8.31
1989   141434       -482.0       -8.54
1990   141547       -483.0       -8.70
1991   141661       -482.3       -8.58
1992   141773       -481.9       -8.51
1993   141885       -481.2       -8.39
1994   141997       -482.1       -8.54
1995   142108       -480.1       -8.21
1996   142218       -479.6       -8.12
1997   142329       -481.1       -8.36
1998   142440       -480.4       -8.25
1999   142551       -481.9       -8.49
2000   142665       -483.4       -8.73
2001   142779       -483.1       -8.68
2002   142893       -482.5       -8.58
2003   143006       -481.5       -8.41
2004   143117       -479.6       -8.09
2005   143227       -480.1       -8.17
2006   143338       -481.0       -8.31
2007   143450       -481.2       -8.34
2008   143562       -481.2       -8.34
2009   143675       -483.1       -8.65
2010   143790       -484.5       -8.87
2011   143905       -481.4       -8.36
2012   144016       -479.0       -7.95
2013   144126       -480.4       -8.18
2014   144237       -480.1       -8.13
2015   144346       -477.6       -7.71
2016   144453       -478.1       -7.79
2017   144562       -478.5       -7.85
2018   144671       -479.0       -7.93
2019   144782       -480.7       -8.21
2020   144894       -481.4       -8.32
2021   145006       -480.6       -8.19
2022   145116       -478.9       -7.90
2023   145226       -479.5       -8.00
2024   145337       -480.3       -8.13
2025   145449       -481.4       -8.31
2026   145563       -483.3       -8.62
2027   145678       -482.5       -8.49
2028   145792       -481.6       -8.34
2029   145905       -482.3       -8.45
2030   146019       -481.5       -8.31
2031   146131       -479.6       -8.00
2032   146242       -479.6       -7.99
2033   146352       -478.8       -7.86
2034   146461       -477.9       -7.71
2035   146570       -478.6       -7.82
2036   146681       -479.6       -7.98
2037   146792       -479.8       -8.02
2038   146903       -479.7       -8.00
2039   147014       -479.0       -7.88
2040   147124       -479.4       -7.95
2041   147236       -479.8       -8.02
2042   147347       -479.8       -8.02
2043   147459       -480.6       -8.15
2044   147572       -480.0       -8.05
2045   147684       -479.5       -7.97
2046   147796       -481.2       -8.25
2047   147910       -481.6       -8.32
2048   148025       -482.5       -8.47
2049   148141       -482.4       -8.45
2050   148253       -477.7       -7.67
2051   148362       -476.8       -7.52
2052   148471       -477.9       -7.70
2053   148581       -477.5       -7.64
2054   148691       -478.7       -7.84
2055   148802       -478.7       -7.84
2056   148913       -478.0       -7.72
2057   149022       -477.4       -7.62
2058   149132       -476.9       -7.54
2059   149241       -477.7       -7.67
2060   149351       -476.8       -7.52
2061   149460       -476.4       -7.46
2062   149569       -477.6       -7.66
2063   149679       -477.5       -7.64
2064   149789       -477.3       -7.61
2065   149899       -477.1       -7.57
2066   150008       -475.7       -7.34
2067   150116       -475.6       -7.33
2068   150224       -476.9       -7.54
2069   150333       -475.7       -7.34
2070   150440       -473.2       -6.93
2071   150545       -473.4       -6.96
2072   150653       -476.2       -7.43
2073   150762       -476.1       -7.41
2074   150868       -472.1       -6.75
2075   150972       -471.3       -6.61
2076   151076       -472.8       -6.86
2077   151181       -473.1       -6.91
2078   151287       -473.1       -6.91
2079   151393       -475.0       -7.22
2080   151502       -476.2       -7.42
2081   151611       -476.0       -7.38
2082   151721       -476.1       -7.40
2083   151832       -478.7       -7.82
2084   151945       -479.1       -7.89
2085   152058       -479.1       -7.89
2086   152171       -477.9       -7.69
2087   152283       -478.4       -7.77
2088   152398       -480.7       -8.15
2089   152513       -480.3       -8.08
2090   152628       -479.0       -7.86
2091   152740       -477.7       -7.64
2092   152852       -476.8       -7.49
2093   152963       -477.9       -7.67
2094   153076       -477.7       -7.64
2095   153188       -478.5       -7.78
2096   153301       -477.9       -7.68
2097   153412       -475.2       -7.23
2098   153523       -477.5       -7.61
2099   153637       -480.2       -8.06
2100   153753       -480.4       -8.10
2101   153868       -478.2       -7.74
2102   153981       -477.5       -7.62
2103   154094       -478.1       -7.72
2104   154207       -477.6       -7.64
2105   154322       -480.6       -8.14
2106   154438       -478.9       -7.86
2107   154551       -475.9       -7.37
2108   154664       -478.8       -7.85
2109   154783       -485.7       -9.00
2110   154907       -484.5       -8.80
2111   155029       -482.9       -8.53
2112   155151       -484.7       -8.84
2113   155271       -480.0       -8.06
2114   155388       -480.1       -8.08
2115   155506       -480.9       -8.21
2116   155625       -482.0       -8.40
2117   155743       -478.9       -7.89
2118   155861       -481.8       -8.37
2119   155983       -484.8       -8.87
2120   156105       -481.2       -8.28
2121   156225       -482.5       -8.50
2122   156349       -486.0       -9.08
2123   156473       -482.7       -8.54
2124   156593       -480.5       -8.17
2125   156714       -482.6       -8.52
2126   156835       -482.4       -8.49
2127   156957       -482.7       -8.55
2128   157080       -482.9       -8.58
2129   157202       -482.4       -8.50
2130   157324       -482.9       -8.59
2131   157444       -478.4       -7.84
2132   157560       -477.5       -7.69
2133   157677       -478.8       -7.91
2134   157793       -477.4       -7.67
2135   157909       -477.9       -7.75
2136   158026       -479.0       -7.93
2137   158140       -473.2       -6.97
2138   158250       -473.0       -6.93
2139   158359       -471.2       -6.63
2140   158469       -474.2       -7.13
2141   158584       -479.8       -8.05
2142   158702       -477.2       -7.62
2143   158815       -473.9       -7.07
2144   158925       -471.2       -6.62
2145   159033       -471.8       -6.72
2146   159139       -466.8       -5.89
2147   159240       -463.1       -5.27
2148   159340       -465.3       -5.63
2149   159444       -471.0       -6.58
2150   159548       -463.7       -5.36
2151   159651       -469.2       -6.27
2152   159757       -469.8       -6.37
2153   159865       -470.9       -6.54
2154   159971       -467.3       -5.94
2155   160076       -469.2       -6.25
2156   160184       -472.3       -6.76
2157   160293       -471.8       -6.67
2158   160403       -472.5       -6.78
2159   160514       -472.6       -6.79
2160   160626       -476.3       -7.40
2161   160740       -473.0       -6.85
2162   160851       -474.4       -7.07
2163   160963       -472.7       -6.79
2164   161077       -476.9       -7.48
2165   161192       -476.1       -7.34
2166   161308       -477.2       -7.52
2167   161427       -480.0       -7.97
2168   161545       -476.6       -7.41
2169   161661       -476.5       -7.38
2170   161776       -474.4       -7.03
2171   161890       -475.7       -7.25
2172   162005       -475.3       -7.18
2173   162117       -471.8       -6.60
2174   162227       -471.8       -6.60
2175   162336       -469.5       -6.22
2176   162440       -464.9       -5.46
2177   162543       -465.7       -5.59
2178   162649       -471.8       -6.60
2179   162759       -470.7       -6.42
2180   162867       -469.0       -6.14
2181   162976       -471.3       -6.52
2182   163089       -475.7       -7.25
2183   163204       -474.4       -7.03
2184   163318       -474.5       -7.05
2185   163432       -474.2       -7.00
2186   163546       -473.1       -6.81
2187   163660       -475.6       -7.23
2188   163777       -476.6       -7.39
2189   163896       -478.2       -7.66
2190   164016       -478.8       -7.76
2191   164136       -477.7       -7.58
2192   164258       -481.8       -8.26
2193   164385       -483.0       -8.46
2194   164512       -483.7       -8.57
2195   164642       -484.9       -8.77
2196   164769       -480.9       -8.11
2197   164894       -482.0       -8.29
2198   165021       -482.9       -8.44
2199   165148       -482.0       -8.30
2200   165274       -482.1       -8.31
2201   165399       -479.1       -7.82
2202   165522       -480.1       -7.98
2203   165646       -481.2       -8.17
2204   165774       -483.6       -8.57
2205   165903       -483.4       -8.53
2206   166029       -480.0       -7.97
2207   166155       -482.8       -8.44
2208   166284       -482.5       -8.39
2209   166411       -480.9       -8.12
2210   166537       -482.2       -8.34
2211   166662       -478.0       -7.65
2212   166785       -479.5       -7.90
2213   166909       -479.0       -7.82
2214   167035       -482.8       -8.45
2215   167164       -481.6       -8.25
2216   167290       -480.0       -7.99
2217   167414       -478.6       -7.76
2218   167539       -479.8       -7.96
2219   167664       -479.8       -7.96
2220   167790       -480.3       -8.05
2221   167915       -479.3       -7.89
2222   168039       -477.3       -7.56
2223   168159       -474.7       -7.13
2224   168276       -471.8       -6.65
2225   168391       -471.6       -6.62
2226   168506       -473.3       -6.90
2227   168623       -472.1       -6.71
2228   168739       -473.5       -6.94
2229   168857       -474.1       -7.05
2230   168974       -471.3       -6.59
2231   169088       -469.7       -6.33
2232   169201       -469.7       -6.33
2233   169314       -469.4       -6.29
2234   169425       -466.5       -5.81
2235   169531       -462.1       -5.08
2236   169638       -466.6       -5.83
2237   169750       -470.4       -6.47
2238   169866       -472.8       -6.87
2239   169983       -471.2       -6.61
2240   170101       -473.6       -7.01
2241   170221       -475.3       -7.30
2242   170340       -471.7       -6.71
2243   170455       -468.8       -6.23
2244   170568       -467.7       -6.05
2245   170683       -472.5       -6.85
2246   170803       -474.9       -7.25
2247   170922       -471.1       -6.61
2248   171040       -473.5       -7.01
2249   171165       -479.3       -7.97
2250   171289       -473.5       -7.00
2251   171405       -468.4       -6.16
2252   171519       -469.1       -6.27
2253   171638       -476.0       -7.41
2254   171760       -472.8       -6.88
2255   171880       -474.0       -7.08
2256   172004       -477.5       -7.65
2257   172132       -479.9       -8.05
2258   172262       -480.5       -8.15
2259   172393       -480.5       -8.14
2260   172522       -476.8       -7.53
2261   172647       -477.0       -7.56
2262   172774       -477.5       -7.64
2263   172900       -476.7       -7.51
2264   173027       -478.0       -7.72
2265   173153       -475.5       -7.31
2266   173275       -473.0       -6.89
2267   173397       -474.3       -7.11
2268   173519       -473.4       -6.96
2269   173642       -474.4       -7.13
2270   173761       -469.4       -6.30
2271   173875       -466.0       -5.74
2272   173988       -467.0       -5.91
